1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
Payment System Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month/Year,1   RTGS,,1.1  Customer Transactions,,1.2  Interbank Transactions,,1.3  Interbank Clearing,,+L2+K4:V5,,2.1  CBLO,,2.2  Govt. Securities Clearing,,2.2.1  Outright,,2.2.2  Repo,,2.2.3 Tri-party Repo,,2.3  Forex Clearing,,3   Paper Clearing,,3.1  Cheque Truncation System (CTS),,3.2  MICR Clearing,,3.2.1  RBI Centres,,3.2.2  Other Centres,,3.3  Non-MICR Clearing,,4   Retail Electronic Clearing,,4.1  ECS DR,,4.2  ECS CR (includes NECS),,4.3  EFT/NEFT,,4.4  Immediate Payment Service (IMPS),,4.6 National Automated Clearing House (NACH),,5   Cards,,5.1  Credit Cards,,5.1.1  Usage at ATMs,,5.1.2  Usage at POS,,5.2  Debit Cards,,5.2.1  Usage at ATMs,,5.2.2  Usage at POS,,6   Prepaid Payment Instruments (PPIs),,6.1  m-Wallet,,6.2  PPI Cards,,6.3  Paper Vouchers,,7   Mobile Banking,,8   Cards Outstanding,,8.1  Credit Card,,8.2  Debit Card,,9   Number of ATMs (in actuals),,10 Number of POS (in actuals),,11 Grand Total (1.1+1.2+2+3+4+5+6),
,Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores ),Volume (Lakh),Value( Rupees Crores )
Oct-2019,128.92374,13861415.2,126.66193,8937536.16,2.23816,1475446.23,0.02365,3448432.88,2.60221,10134697.8,-,-,0.89598,6266764.47,0.53492,777815.655,0.18514,2220319.26,0.17592,3268629.55,1.70623,3867933.39,898.06623,660305.109,896.74664,659143.946,-,-,-,-,-,-,1.31959,1161.1632,8399.73729,2274304.97,0.00031,0.0331,0.16442,82.2862,2424,1860790,2369.29924,212660.443,3606.27332,200772.207,15176.4333,457310.585,2036.00032,71552.1779,8.37367,413.4523,2027.62665,71138.7255,13140.4329,385758.407,8590.42732,315632.808,4550.00566,70125.5985,4848.26318,18658.2571,3393.2542,15109.2432,1455.00898,3549.0139,0,0,12418.0054,532759.213,8969.80878,-,533.58641,-,8436.22237,-,229374,-,4825074,-,29454.0023,23958259.1
Sep-2019,114.42059,14298230.4,112.28466,9383141.63,2.11263,1700327.92,0.0233,3214760.88,2.83466,10186795.8,-,-,1.01358,5929702.05,0.66863,952087.085,0.17933,2075681.62,0.16562,2901933.35,1.82108,4257093.8,828.04234,591754.464,826.5467,590477.63,-,-,-,-,-,-,1.49564,1276.8336,7091.97183,2140620.91,0.00016,0.0183,0.12038,134.9688,2167,1811781,2041.6,183746.97,2883.25129,144957.953,13892.4333,389350.029,1802.88189,59845.3181,8.17667,392.1855,1794.70522,59453.1326,12089.5515,329504.711,7940.21516,273786.425,4149.33634,55718.2865,4033.61025,17835.3312,3402.11329,14674.5249,631.49696,3160.8062,0,0,10980.2555,470168.165,8881.83567,-,525.89719,-,8355.93848,-,227886,-,4589727,-,25963.2897,24409826.1
Aug-2019,118.79496,14842137.7,116.56035,9829147.02,2.21095,1694481.6,0.02366,3318509.13,3.34167,10510798.8,-,-,1.2951,6471124.98,0.93222,1292194.74,0.18595,2162776.64,0.17693,3016153.6,2.04657,4039673.86,878.22062,637093.478,875.54973,635054.551,-,-,-,-,-,-,2.67089,2038.927,7299.24229,2136862.52,0.03565,6.7338,3.38453,913.918,2212.6,1796152.8,2003.1,189112.88,3080.12211,150676.186,14240.5836,405536.028,1804.30796,60010.9238,8.57567,410.3343,1795.73229,59600.5895,12436.2756,345525.104,8143.08309,287447.528,4293.1926,58077.5761,4070.66465,18323.5516,3491.17735,15462.2697,579.4873,2861.2819,0,0,10072.4319,328042.98,8778.95858,-,517.65489,-,8261.30369,-,228170,-,4409250,-,26610.8241,25232243
Jul-2019,127.44781,16004194.3,125.06822,10886126.2,2.35274,1690930.41,0.02685,3427137.67,3.61953,11683805.8,-,-,1.77924,7518961.89,1.35958,1766292.2,0.22878,2562517.24,0.19088,3190152.45,1.84029,4164843.94,937.13041,682193.847,934.30107,680014.522,-,-,-,-,-,-,2.82934,2179.3252,6887.21143,2114124.47,0.22124,4.1418,2.82199,968.0414,2194.1926,1784264.3,1892.76259,182021.006,2797.21301,146866.986,14209.3753,400703.078,1792.82148,60025.2568,8.66443,408.8705,1784.15705,59616.3862,12416.5538,340677.821,8160.1477,282132.751,4256.40612,58545.0702,4075.89007,18436.9424,3469.03863,15732.954,606.85144,2703.9884,0,0,9175.84184,533846.147,8656.49635,-,502.63911,-,8153.85724,-,227629,-,4252850,-,26240.6477,27476320.8
Jun-2019,118.25641,15299131.4,115.99295,10177607.7,2.2395,1824134.85,0.02396,3297388.79,3.10141,10918362.6,-,-,1.48385,6828452.44,1.11237,1507446.32,0.20472,2441203.67,0.16676,2879802.45,1.61756,4089910.25,839.64318,631026.439,836.46297,628245.83,-,-,-,-,-,-,3.18021,2780.6093,6436.48461,2058081.45,0.26889,9.0956,3.29926,924.3439,1991.40026,1749645,1713.25093,173019.272,2728.26527,134483.747,13766.6501,398172.959,1640.45532,57316.7778,8.12043,388.3622,1632.33489,56928.4156,12126.1948,340856.181,8004.84063,283402.894,4121.35421,57453.2877,3898.18845,17763.557,3344.89124,15254.2606,553.29721,2509.2964,0,0,8486.064,497543.057,8615.92636,-,496.48103,-,8119.44533,-,226839,-,4068954,-,25062.3002,26025149.7
May-2019,124.91084,15837963.2,122.24083,10488616.3,2.64307,1908765.72,0.02694,3440581.22,3.14633,10898782.3,-,-,1.27076,6443830.26,0.85941,1032917.72,0.22452,2416630.84,0.18683,2994281.7,1.87557,4454952.11,921.11318,717078.46,917.67002,713687.504,-,-,-,-,-,-,3.44316,3390.9554,6838.13947,2483416.15,0.32797,9.2691,2.93651,776.8162,2176.80014,2127773.88,1833.25238,180456.439,2824.82247,174399.742,14022.837,414413.345,1740.42606,61699.7857,8.89516,417.3211,1731.5309,61282.4646,12282.411,352713.56,8157.10204,294666.756,4125.30896,58046.8033,4189.97872,18297.3786,3674.54614,15727.0843,515.43258,2570.2942,0,0,8417.38397,485008.294,8493.57875,-,489.20802,-,8004.37073,-,227227,-,3845111,-,26100.0986,26929369.7
Apr-2019,114.75242,14848120.2,112.27648,9308065.92,2.45265,1937265.52,0.02329,3602788.8,2.47587,9507803.45,-,-,0.9009,4874872.68,0.58435,791580.259,0.16149,1685733.58,0.15506,2397558.85,1.57497,4632930.77,897.93159,726811.819,893.57858,723532.669,-,-,-,-,-,-,4.35301,3279.1494,7318.52427,2380105.16,0.28593,9.2153,5.17811,1186.8623,2034.38935,2054669.35,1850.44153,169197.076,3428.22935,155042.66,13897.7479,397862.899,1677.85442,58115.6931,8.64856,401.6582,1669.20586,57714.0349,12219.8935,339747.206,8089.09049,284396.333,4130.80303,55350.873,4209.74266,18553.866,3806.23062,15975.1707,403.51204,2578.6953,0,0,8812.34603,402017.506,9082.91523,-,479.968,-,8602.94723,-,227164,-,3757621,-,26441.1514,24276468.6
